date,customer_id,store_id,age,gender,age_group,product_name,category,units_sold,unit_price,discount_applied,discounted,sales_amount
2025-05-03,cust_393,store_2,43,M,40s_M,Instant Noodles,Pantry,4,1.2,0.15,TRUE,4.08
2025-05-02,cust_790,store_5,51,F,50s_F,Herbal Tea,Beverages,3,2.0,0.05,TRUE,5.7
2025-05-02,cust_504,store_4,44,F,40s_F,Smoothie Drink,Beverages,1,2.2,0.1,TRUE,1.98
2025-03-16,cust_419,store_2,37,F,30s_F,Frozen Berries,Frozen Foods,1,2.8,0.0,FALSE,2.8
2025-04-26,cust_754,store_4,16,M,10s_M,Granola Bar,Snacks,4,1.5,0.05,TRUE,5.7
2025-05-09,cust_948,store_3,45,F,40s_F,Greek Yoghurt,Dairy,4,2.0,0.05,TRUE,7.6
2025-03-18,cust_703,store_1,63,M,60s_M,Mixed Nuts,Snacks,4,2.9,0.1,TRUE,10.44
2025-04-18,cust_593,store_4,16,F,10s_F,Salad Bowl,Ready Meals,3,3.2,0.05,TRUE,9.12
2025-04-25,cust_885,store_3,42,F,40s_F,Greek Yoghurt,Dairy,3,2.0,0.15,TRUE,5.1
2025-03-27,cust_728,store_4,35,M,30s_M,Whisky (700ml),Alcohol,1,15.0,0.15,TRUE,12.75
2025-03-23,cust_318,store_3,40,F,40s_F,Smoothie Drink,Beverages,1,2.2,0.15,TRUE,1.87
2025-04-06,cust_182,store_5,39,F,30s_F,Granola Bar,Snacks,1,1.5,0.05,TRUE,1.42
2025-05-06,cust_646,store_4,20,M,20s_M,Energy Drink,Beverages,3,1.8,0.0,FALSE,5.4
2025-05-09,cust_783,store_4,50,F,50s_F,Cheddar Cheese,Dairy,4,2.5,0.05,TRUE,9.5
2025-04-12,cust_84,store_4,20,F,20s_F,Greek Yoghurt,Dairy,3,2.0,0.0,FALSE,6.0
2025-04-11,cust_743,store_1,57,F,50s_F,Mixed Nuts,Snacks,2,2.9,0.15,TRUE,4.93
2025-04-17,cust_288,store_2,24,M,20s_M,Cola (500ml),Beverages,2,1.2,0.1,TRUE,2.16
2025-04-28,cust_160,store_1,56,F,50s_F,Mixed Nuts,Snacks,1,2.9,0.15,TRUE,2.46
2025-04-07,cust_362,store_3,32,M,30s_M,Whisky (700ml),Alcohol,4,15.0,0.15,TRUE,51.0
2025-03-19,cust_377,store_2,53,F,50s_F,Avocados,Produce,2,2.4,0.0,FALSE,4.8
2025-04-13,cust_830,store_3,59,M,50s_M,Red Wine (750ml),Alcohol,4,7.5,0.0,FALSE,30.0
2025-04-04,cust_577,store_3,39,M,30s_M,Whole Chicken,Meat,4,5.0,0.0,FALSE,20.0
2025-04-26,cust_450,store_4,43,M,40s_M,Cheddar Cheese,Dairy,1,2.5,0.0,FALSE,2.5
2025-03-28,cust_256,store_3,63,F,60s_F,Greek Yoghurt,Dairy,2,2.0,0.15,TRUE,3.4
2025-04-17,cust_6,store_4,28,M,20s_M,Beef Jerky,Snacks,4,3.5,0.15,TRUE,11.9
2025-04-26,cust_664,store_2,15,M,10s_M,Granola Bar,Snacks,1,1.5,0.1,TRUE,1.35
2025-03-05,cust_257,store_5,54,F,50s_F,Cheddar Cheese,Dairy,4,2.5,0.1,TRUE,9.0
2025-03-06,cust_827,store_2,18,M,10s_M,Granola Bar,Snacks,1,1.5,0.05,TRUE,1.42
2025-04-30,cust_929,store_1,24,M,20s_M,Cola (500ml),Beverages,4,1.2,0.15,TRUE,4.08
2025-03-27,cust_585,store_5,32,M,30s_M,Whole Chicken,Meat,3,5.0,0.1,TRUE,13.5
2025-03-12,cust_353,store_1,25,F,20s_F,Frozen Berries,Frozen Foods,4,2.8,0.1,TRUE,10.08
2025-04-21,cust_498,store_1,10,M,10s_M,Cola (500ml),Beverages,2,1.2,0.05,TRUE,2.28
2025-04-13,cust_111,store_1,65,M,60s_M,Cheddar Cheese,Dairy,1,2.5,0.0,FALSE,2.5
2025-03-30,cust_833,store_1,34,M,30s_M,Red Wine (750ml),Alcohol,2,7.5,0.15,TRUE,12.75
2025-05-07,cust_522,store_3,48,F,40s_F,Smoothie Drink,Beverages,4,2.2,0.1,TRUE,7.92
2025-04-28,cust_393,store_2,24,M,20s_M,Beef Jerky,Snacks,1,3.5,0.1,TRUE,3.15
2025-03-14,cust_920,store_3,63,F,60s_F,Cheddar Cheese,Dairy,3,2.5,0.15,TRUE,6.38
2025-03-22,cust_975,store_2,48,F,40s_F,Smoothie Drink,Beverages,2,2.2,0.05,TRUE,4.18
2025-03-16,cust_2,store_1,13,F,10s_F,Avocados,Produce,1,2.4,0.15,TRUE,2.04
2025-03-29,cust_722,store_4,52,F,50s_F,Herbal Tea,Beverages,2,2.0,0.15,TRUE,3.4
2025-04-27,cust_589,store_5,29,F,20s_F,Smoothie Drink,Beverages,3,2.2,0.1,TRUE,5.94
2025-03-18,cust_437,store_4,11,F,10s_F,Granola Bar,Snacks,4,1.5,0.05,TRUE,5.7
2025-04-22,cust_992,store_2,15,F,10s_F,Smoothie Drink,Beverages,2,2.2,0.05,TRUE,4.18
2025-03-26,cust_308,store_1,11,M,10s_M,Granola Bar,Snacks,4,1.5,0.0,FALSE,6.0
2025-05-03,cust_830,store_4,64,M,60s_M,Red Wine (750ml),Alcohol,4,7.5,0.15,TRUE,25.5
2025-03-18,cust_994,store_5,31,F,30s_F,Salad Bowl,Ready Meals,1,3.2,0.0,FALSE,3.2
2025-04-13,cust_515,store_5,17,M,10s_M,Cola (500ml),Beverages,4,1.2,0.0,FALSE,4.8
2025-05-05,cust_530,store_4,47,M,40s_M,Instant Noodles,Pantry,4,1.2,0.0,FALSE,4.8
2025-04-25,cust_685,store_1,11,M,10s_M,Energy Drink,Beverages,3,1.8,0.1,TRUE,4.86
2025-03-11,cust_503,store_1,10,F,10s_F,Salad Bowl,Ready Meals,1,3.2,0.15,TRUE,2.72
2025-03-12,cust_646,store_4,54,F,50s_F,Cheddar Cheese,Dairy,1,2.5,0.15,TRUE,2.12
2025-03-18,cust_661,store_2,63,F,60s_F,Avocados,Produce,3,2.4,0.0,FALSE,7.2
2025-04-09,cust_237,store_4,46,M,40s_M,Instant Noodles,Pantry,2,1.2,0.1,TRUE,2.16
2025-03-12,cust_712,store_5,39,M,30s_M,Red Wine (750ml),Alcohol,2,7.5,0.15,TRUE,12.75
2025-04-29,cust_535,store_4,18,F,10s_F,Avocados,Produce,4,2.4,0.15,TRUE,8.16
2025-04-24,cust_126,store_4,64,F,60s_F,Herbal Tea,Beverages,2,2.0,0.05,TRUE,3.8
2025-03-12,cust_129,store_5,10,M,10s_M,Cola (500ml),Beverages,3,1.2,0.15,TRUE,3.06
2025-03-20,cust_577,store_2,27,M,20s_M,Cola (500ml),Beverages,2,1.2,0.05,TRUE,2.28
2025-04-06,cust_382,store_4,20,M,20s_M,Energy Drink,Beverages,2,1.8,0.1,TRUE,3.24
2025-05-01,cust_686,store_4,25,F,20s_F,Smoothie Drink,Beverages,3,2.2,0.05,TRUE,6.27
2025-04-18,cust_707,store_2,17,F,10s_F,Salad Bowl,Ready Meals,4,3.2,0.15,TRUE,10.88
2025-04-20,cust_242,store_5,43,M,40s_M,Instant Noodles,Pantry,3,1.2,0.15,TRUE,3.06
2025-03-08,cust_485,store_3,48,M,40s_M,Red Wine (750ml),Alcohol,3,7.5,0.15,TRUE,19.12
2025-04-07,cust_33,store_4,44,F,40s_F,Greek Yoghurt,Dairy,3,2.0,0.05,TRUE,5.7
2025-03-21,cust_510,store_5,60,M,60s_M,Red Wine (750ml),Alcohol,2,7.5,0.0,FALSE,15.0
2025-03-26,cust_899,store_5,46,F,40s_F,Smoothie Drink,Beverages,2,2.2,0.1,TRUE,3.96
2025-04-28,cust_597,store_3,24,F,20s_F,Frozen Berries,Frozen Foods,2,2.8,0.05,TRUE,5.32
2025-04-15,cust_147,store_4,38,F,30s_F,Salad Bowl,Ready Meals,4,3.2,0.1,TRUE,11.52
2025-04-24,cust_985,store_4,42,F,40s_F,Herbal Tea,Beverages,1,2.0,0.05,TRUE,1.9
2025-05-02,cust_331,store_1,55,M,50s_M,Whisky (700ml),Alcohol,2,15.0,0.05,TRUE,28.5
2025-03-15,cust_782,store_4,30,M,30s_M,Whisky (700ml),Alcohol,4,15.0,0.15,TRUE,51.0
2025-03-31,cust_545,store_5,37,M,30s_M,Red Wine (750ml),Alcohol,1,7.5,0.05,TRUE,7.12
2025-05-02,cust_887,store_2,58,F,50s_F,Avocados,Produce,1,2.4,0.05,TRUE,2.28
2025-03-16,cust_907,store_3,54,M,50s_M,Whisky (700ml),Alcohol,3,15.0,0.0,FALSE,45.0
2025-03-04,cust_111,store_2,39,F,30s_F,Frozen Berries,Frozen Foods,2,2.8,0.05,TRUE,5.32
2025-03-18,cust_84,store_2,59,M,50s_M,Instant Noodles,Pantry,2,1.2,0.05,TRUE,2.28
2025-03-01,cust_643,store_4,21,F,20s_F,Salad Bowl,Ready Meals,3,3.2,0.05,TRUE,9.12
2025-04-09,cust_431,store_4,19,M,10s_M,Potato Crisps,Snacks,1,1.3,0.15,TRUE,1.1
2025-04-03,cust_937,store_5,29,F,20s_F,Greek Yoghurt,Dairy,1,2.0,0.1,TRUE,1.8
2025-04-18,cust_390,store_1,17,M,10s_M,Cola (500ml),Beverages,3,1.2,0.1,TRUE,3.24
2025-04-11,cust_81,store_3,64,M,60s_M,Mixed Nuts,Snacks,2,2.9,0.0,FALSE,5.8
2025-03-30,cust_918,store_3,13,F,10s_F,Granola Bar,Snacks,4,1.5,0.1,TRUE,5.4
2025-05-05,cust_712,store_2,36,F,30s_F,Frozen Berries,Frozen Foods,4,2.8,0.1,TRUE,10.08
2025-04-23,cust_490,store_5,40,F,40s_F,Smoothie Drink,Beverages,2,2.2,0.0,FALSE,4.4
2025-03-28,cust_456,store_5,51,F,50s_F,Avocados,Produce,3,2.4,0.0,FALSE,7.2
2025-03-10,cust_85,store_3,17,F,10s_F,Salad Bowl,Ready Meals,4,3.2,0.05,TRUE,12.16
2025-04-19,cust_94,store_5,32,F,30s_F,Greek Yoghurt,Dairy,3,2.0,0.1,TRUE,5.4
2025-04-23,cust_894,store_1,57,M,50s_M,Instant Noodles,Pantry,2,1.2,0.15,TRUE,2.04
2025-03-12,cust_102,store_5,49,F,40s_F,Cheddar Cheese,Dairy,1,2.5,0.0,FALSE,2.5
2025-05-02,cust_426,store_5,35,F,30s_F,Granola Bar,Snacks,4,1.5,0.1,TRUE,5.4
2025-03-24,cust_736,store_2,31,F,30s_F,Frozen Berries,Frozen Foods,2,2.8,0.0,FALSE,5.6
2025-04-10,cust_816,store_1,35,F,30s_F,Granola Bar,Snacks,2,1.5,0.0,FALSE,3.0
2025-05-02,cust_403,store_4,11,F,10s_F,Smoothie Drink,Beverages,4,2.2,0.1,TRUE,7.92
2025-03-29,cust_721,store_5,65,M,60s_M,Herbal Tea,Beverages,3,2.0,0.1,TRUE,5.4
2025-03-16,cust_423,store_3,37,F,30s_F,Granola Bar,Snacks,3,1.5,0.15,TRUE,3.82
2025-03-06,cust_310,store_1,63,M,60s_M,Mixed Nuts,Snacks,3,2.9,0.05,TRUE,8.26
2025-04-02,cust_413,store_2,14,F,10s_F,Granola Bar,Snacks,2,1.5,0.05,TRUE,2.85
2025-03-09,cust_587,store_3,33,F,30s_F,Granola Bar,Snacks,4,1.5,0.1,TRUE,5.4
2025-04-22,cust_296,store_5,36,M,30s_M,Whole Chicken,Meat,1,5.0,0.0,FALSE,5.0
2025-04-16,cust_210,store_3,33,M,30s_M,Whisky (700ml),Alcohol,4,15.0,0.1,TRUE,54.0
2025-03-11,cust_997,store_4,22,F,20s_F,Frozen Berries,Frozen Foods,1,2.8,0.05,TRUE,2.66
2025-03-19,cust_744,store_1,15,M,10s_M,Energy Drink,Beverages,1,1.8,0.05,TRUE,1.71
2025-04-11,cust_277,store_1,32,F,30s_F,Salad Bowl,Ready Meals,4,3.2,0.0,FALSE,12.8
2025-04-17,cust_990,store_3,26,M,20s_M,Energy Drink,Beverages,1,1.8,0.1,TRUE,1.62
2025-04-25,cust_87,store_5,57,M,50s_M,Instant Noodles,Pantry,1,1.2,0.0,FALSE,1.2
2025-04-20,cust_355,store_1,56,M,50s_M,Red Wine (750ml),Alcohol,3,7.5,0.0,FALSE,22.5
2025-05-08,cust_812,store_4,36,F,30s_F,Frozen Berries,Frozen Foods,3,2.8,0.1,TRUE,7.56
2025-04-24,cust_529,store_3,28,M,20s_M,Energy Drink,Beverages,3,1.8,0.05,TRUE,5.13
2025-03-01,cust_551,store_1,47,M,40s_M,Cheddar Cheese,Dairy,4,2.5,0.0,FALSE,10.0
2025-03-02,cust_846,store_2,61,M,60s_M,Herbal Tea,Beverages,3,2.0,0.05,TRUE,5.7
2025-05-03,cust_204,store_2,43,M,40s_M,Red Wine (750ml),Alcohol,2,7.5,0.05,TRUE,14.25
2025-04-17,cust_680,store_3,29,F,20s_F,Frozen Berries,Frozen Foods,2,2.8,0.05,TRUE,5.32
2025-03-28,cust_947,store_4,55,M,50s_M,Mixed Nuts,Snacks,4,2.9,0.15,TRUE,9.86
2025-04-16,cust_787,store_1,23,F,20s_F,Salad Bowl,Ready Meals,3,3.2,0.15,TRUE,8.16
2025-04-01,cust_810,store_2,20,F,20s_F,Greek Yoghurt,Dairy,2,2.0,0.05,TRUE,3.8
2025-03-26,cust_271,store_4,64,F,60s_F,Avocados,Produce,3,2.4,0.15,TRUE,6.12
2025-04-11,cust_209,store_4,48,M,40s_M,Red Wine (750ml),Alcohol,3,7.5,0.05,TRUE,21.38
2025-04-08,cust_612,store_2,30,M,30s_M,Red Wine (750ml),Alcohol,2,7.5,0.0,FALSE,15.0
2025-03-03,cust_111,store_3,22,F,20s_F,Frozen Berries,Frozen Foods,1,2.8,0.15,TRUE,2.38
2025-04-11,cust_5,store_5,50,M,50s_M,Mixed Nuts,Snacks,1,2.9,0.05,TRUE,2.75
2025-05-10,cust_117,store_2,13,M,10s_M,Potato Crisps,Snacks,2,1.3,0.05,TRUE,2.47
2025-04-24,cust_488,store_4,64,F,60s_F,Cheddar Cheese,Dairy,3,2.5,0.05,TRUE,7.12
2025-03-29,cust_831,store_2,13,M,10s_M,Granola Bar,Snacks,2,1.5,0.1,TRUE,2.7
2025-04-15,cust_19,store_2,22,F,20s_F,Smoothie Drink,Beverages,2,2.2,0.05,TRUE,4.18
2025-03-03,cust_738,store_4,44,M,40s_M,Red Wine (750ml),Alcohol,2,7.5,0.1,TRUE,13.5
2025-05-07,cust_571,store_2,43,M,40s_M,Instant Noodles,Pantry,4,1.2,0.0,FALSE,4.8
2025-03-09,cust_813,store_5,35,M,30s_M,Whole Chicken,Meat,3,5.0,0.05,TRUE,14.25
2025-04-30,cust_934,store_3,51,F,50s_F,Herbal Tea,Beverages,1,2.0,0.1,TRUE,1.8
2025-04-25,cust_719,store_3,62,F,60s_F,Avocados,Produce,4,2.4,0.1,TRUE,8.64
2025-04-11,cust_198,store_1,21,F,20s_F,Frozen Berries,Frozen Foods,2,2.8,0.0,FALSE,5.6
2025-04-30,cust_967,store_4,56,M,50s_M,Mixed Nuts,Snacks,3,2.9,0.05,TRUE,8.26
2025-04-01,cust_773,store_5,12,F,10s_F,Granola Bar,Snacks,3,1.5,0.05,TRUE,4.27
2025-04-02,cust_644,store_3,17,F,10s_F,Avocados,Produce,2,2.4,0.05,TRUE,4.56
2025-03-22,cust_803,store_1,45,F,40s_F,Cheddar Cheese,Dairy,3,2.5,0.15,TRUE,6.38
2025-04-22,cust_845,store_3,18,F,10s_F,Avocados,Produce,4,2.4,0.1,TRUE,8.64
2025-03-04,cust_988,store_2,59,F,50s_F,Mixed Nuts,Snacks,2,2.9,0.15,TRUE,4.93
2025-04-03,cust_762,store_4,52,F,50s_F,Mixed Nuts,Snacks,2,2.9,0.1,TRUE,5.22
2025-03-22,cust_47,store_3,64,M,60s_M,Herbal Tea,Beverages,3,2.0,0.15,TRUE,5.1
2025-03-06,cust_300,store_2,63,F,60s_F,Greek Yoghurt,Dairy,1,2.0,0.15,TRUE,1.7
2025-05-05,cust_148,store_3,31,M,30s_M,Whisky (700ml),Alcohol,4,15.0,0.15,TRUE,51.0
2025-04-13,cust_674,store_2,33,M,30s_M,Red Wine (750ml),Alcohol,3,7.5,0.15,TRUE,19.12
2025-04-04,cust_319,store_3,31,F,30s_F,Frozen Berries,Frozen Foods,4,2.8,0.15,TRUE,9.52
2025-03-06,cust_529,store_3,51,F,50s_F,Herbal Tea,Beverages,2,2.0,0.05,TRUE,3.8
2025-04-23,cust_577,store_2,65,F,60s_F,Cheddar Cheese,Dairy,4,2.5,0.1,TRUE,9.0
2025-05-03,cust_106,store_2,52,M,50s_M,Whisky (700ml),Alcohol,3,15.0,0.15,TRUE,38.25
2025-03-27,cust_656,store_1,43,M,40s_M,Instant Noodles,Pantry,2,1.2,0.1,TRUE,2.16
2025-03-31,cust_120,store_2,33,M,30s_M,Cheddar Cheese,Dairy,3,2.5,0.15,TRUE,6.38
2025-04-15,cust_45,store_2,60,M,60s_M,Red Wine (750ml),Alcohol,1,7.5,0.0,FALSE,7.5
2025-04-20,cust_321,store_2,38,F,30s_F,Granola Bar,Snacks,4,1.5,0.1,TRUE,5.4
2025-04-12,cust_762,store_2,11,F,10s_F,Granola Bar,Snacks,2,1.5,0.15,TRUE,2.55
2025-03-30,cust_511,store_5,53,M,50s_M,Red Wine (750ml),Alcohol,2,7.5,0.1,TRUE,13.5
2025-04-07,cust_931,store_3,36,F,30s_F,Granola Bar,Snacks,1,1.5,0.0,FALSE,1.5
2025-04-13,cust_53,store_5,37,M,30s_M,Whisky (700ml),Alcohol,2,15.0,0.0,FALSE,30.0
2025-04-19,cust_538,store_5,42,M,40s_M,Whisky (700ml),Alcohol,2,15.0,0.0,FALSE,30.0
2025-04-09,cust_584,store_1,31,M,30s_M,Whisky (700ml),Alcohol,1,15.0,0.1,TRUE,13.5
2025-04-17,cust_211,store_5,21,M,20s_M,Energy Drink,Beverages,4,1.8,0.05,TRUE,6.84
2025-04-02,cust_495,store_3,19,F,10s_F,Salad Bowl,Ready Meals,3,3.2,0.15,TRUE,8.16
2025-04-05,cust_863,store_1,39,M,30s_M,Whisky (700ml),Alcohol,1,15.0,0.0,FALSE,15.0
2025-04-24,cust_85,store_3,23,M,20s_M,Beef Jerky,Snacks,3,3.5,0.05,TRUE,9.97
2025-03-21,cust_369,store_5,17,F,10s_F,Granola Bar,Snacks,2,1.5,0.15,TRUE,2.55
2025-04-10,cust_626,store_1,36,F,30s_F,Frozen Berries,Frozen Foods,1,2.8,0.05,TRUE,2.66
2025-03-27,cust_81,store_2,11,M,10s_M,Energy Drink,Beverages,4,1.8,0.0,FALSE,7.2
2025-03-03,cust_153,store_4,61,M,60s_M,Herbal Tea,Beverages,4,2.0,0.1,TRUE,7.2
2025-04-24,cust_959,store_4,47,M,40s_M,Whisky (700ml),Alcohol,3,15.0,0.15,TRUE,38.25
2025-05-05,cust_965,store_5,51,F,50s_F,Cheddar Cheese,Dairy,2,2.5,0.05,TRUE,4.75
2025-03-23,cust_643,store_5,21,M,20s_M,Energy Drink,Beverages,1,1.8,0.1,TRUE,1.62
2025-04-10,cust_69,store_3,44,F,40s_F,Herbal Tea,Beverages,4,2.0,0.05,TRUE,7.6
2025-05-07,cust_937,store_1,51,M,50s_M,Mixed Nuts,Snacks,3,2.9,0.1,TRUE,7.83
2025-03-10,cust_37,store_2,21,M,20s_M,Cola (500ml),Beverages,3,1.2,0.0,FALSE,3.6
2025-03-24,cust_921,store_5,19,F,10s_F,Salad Bowl,Ready Meals,4,3.2,0.0,FALSE,12.8
2025-03-15,cust_346,store_3,36,M,30s_M,Whisky (700ml),Alcohol,4,15.0,0.05,TRUE,57.0
2025-04-02,cust_167,store_1,37,M,30s_M,Whisky (700ml),Alcohol,4,15.0,0.1,TRUE,54.0
2025-05-09,cust_878,store_2,49,F,40s_F,Smoothie Drink,Beverages,2,2.2,0.15,TRUE,3.74
2025-03-10,cust_499,store_3,56,F,50s_F,Cheddar Cheese,Dairy,3,2.5,0.15,TRUE,6.38
2025-04-30,cust_785,store_3,19,F,10s_F,Granola Bar,Snacks,3,1.5,0.0,FALSE,4.5
2025-03-16,cust_689,store_5,45,F,40s_F,Greek Yoghurt,Dairy,1,2.0,0.15,TRUE,1.7
2025-04-27,cust_994,store_2,38,M,30s_M,Whisky (700ml),Alcohol,4,15.0,0.0,FALSE,60.0
2025-03-28,cust_749,store_1,20,M,20s_M,Energy Drink,Beverages,4,1.8,0.0,FALSE,7.2
2025-03-31,cust_928,store_4,26,F,20s_F,Frozen Berries,Frozen Foods,3,2.8,0.15,TRUE,7.14
2025-03-07,cust_915,store_4,51,F,50s_F,Herbal Tea,Beverages,4,2.0,0.1,TRUE,7.2
2025-03-24,cust_589,store_4,53,F,50s_F,Mixed Nuts,Snacks,1,2.9,0.15,TRUE,2.46
2025-03-04,cust_270,store_3,42,F,40s_F,Cheddar Cheese,Dairy,2,2.5,0.0,FALSE,5.0
2025-03-09,cust_980,store_4,43,F,40s_F,Cheddar Cheese,Dairy,2,2.5,0.15,TRUE,4.25
2025-04-29,cust_611,store_3,24,M,20s_M,Cola (500ml),Beverages,2,1.2,0.15,TRUE,2.04
2025-04-10,cust_133,store_2,51,F,50s_F,Mixed Nuts,Snacks,2,2.9,0.1,TRUE,5.22
2025-05-01,cust_86,store_4,17,F,10s_F,Granola Bar,Snacks,3,1.5,0.05,TRUE,4.27
2025-04-16,cust_801,store_4,53,M,50s_M,Instant Noodles,Pantry,2,1.2,0.0,FALSE,2.4
2025-05-02,cust_175,store_2,20,M,20s_M,Cola (500ml),Beverages,2,1.2,0.1,TRUE,2.16
2025-03-28,cust_981,store_2,51,F,50s_F,Cheddar Cheese,Dairy,1,2.5,0.1,TRUE,2.25
2025-04-12,cust_967,store_5,41,M,40s_M,Cheddar Cheese,Dairy,3,2.5,0.0,FALSE,7.5
2025-03-31,cust_614,store_1,42,M,40s_M,Instant Noodles,Pantry,3,1.2,0.1,TRUE,3.24
2025-04-07,cust_598,store_5,23,F,20s_F,Frozen Berries,Frozen Foods,2,2.8,0.15,TRUE,4.76
2025-04-02,cust_72,store_2,36,F,30s_F,Salad Bowl,Ready Meals,4,3.2,0.1,TRUE,11.52
2025-03-05,cust_312,store_4,16,F,10s_F,Avocados,Produce,2,2.4,0.15,TRUE,4.08
